Year,Age category,Single Year of Age,Sex category,Sex,UNIT,VALUE
1996,646,99 years and over,-,Both sexes,Number,435
1996,646,99 years and over,1,Male,Number,116
1996,646,99 years and over,2,Female,Number,319
1997,-,All ages,-,Both sexes,Number,3664313
1997,-,All ages,1,Male,Number,1819394
1997,-,All ages,2,Female,Number,1844919
1997,200,Under 1 year,-,Both sexes,Number,50491
1997,200,Under 1 year,1,Male,Number,26077
1997,200,Under 1 year,2,Female,Number,24414
1997,001,1 year,-,Both sexes,Number,49596
1997,001,1 year,1,Male,Number,25610
1997,001,1 year,2,Female,Number,23986
1997,002,2 years,-,Both sexes,Number,49036
1997,002,2 years,1,Male,Number,25203
1997,002,2 years,2,Female,Number,23833
1997,003,3 years,-,Both sexes,Number,49689
1997,003,3 years,1,Male,Number,25580
1997,003,3 years,2,Female,Number,24109
1997,004,4 years,-,Both sexes,Number,51216
1997,004,4 years,1,Male,Number,26209
1997,004,4 years,2,Female,Number,25007
1997,005,5 years,-,Both sexes,Number,53881
1997,005,5 years,1,Male,Number,27536
1997,005,5 years,2,Female,Number,26345
1997,006,6 years,-,Both sexes,Number,55495
1997,006,6 years,1,Male,Number,28594
1997,006,6 years,2,Female,Number,26901
1997,007,7 years,-,Both sexes,Number,55676
1997,007,7 years,1,Male,Number,28508
1997,007,7 years,2,Female,Number,27168
1997,008,8 years,-,Both sexes,Number,55202
1997,008,8 years,1,Male,Number,28184
1997,008,8 years,2,Female,Number,27018
1997,009,9 years,-,Both sexes,Number,57675
1997,009,9 years,1,Male,Number,29401
1997,009,9 years,2,Female,Number,28274
1997,010,10 years,-,Both sexes,Number,60651
1997,010,10 years,1,Male,Number,31329
1997,010,10 years,2,Female,Number,29322
1997,011,11 years,-,Both sexes,Number,61718
1997,011,11 years,1,Male,Number,31729
1997,011,11 years,2,Female,Number,29989
1997,012,12 years,-,Both sexes,Number,62541
1997,012,12 years,1,Male,Number,32206
1997,012,12 years,2,Female,Number,30335
1997,013,13 years,-,Both sexes,Number,64848
1997,013,13 years,1,Male,Number,33264
1997,013,13 years,2,Female,Number,31584
1997,014,14 years,-,Both sexes,Number,68267
1997,014,14 years,1,Male,Number,35019
1997,014,14 years,2,Female,Number,33248
1997,015,15 years,-,Both sexes,Number,69766
1997,015,15 years,1,Male,Number,35726
1997,015,15 years,2,Female,Number,34040
1997,016,16 years,-,Both sexes,Number,71650
1997,016,16 years,1,Male,Number,36823
1997,016,16 years,2,Female,Number,34827
1997,017,17 years,-,Both sexes,Number,72052
1997,017,17 years,1,Male,Number,37137
1997,017,17 years,2,Female,Number,34915
1997,018,18 years,-,Both sexes,Number,67036
1997,018,18 years,1,Male,Number,33986
1997,018,18 years,2,Female,Number,33050
1997,019,19 years,-,Both sexes,Number,63243
1997,019,19 years,1,Male,Number,32507
1997,019,19 years,2,Female,Number,30736
1997,020,20 years,-,Both sexes,Number,61418
1997,020,20 years,1,Male,Number,31100
1997,020,20 years,2,Female,Number,30318
1997,021,21 years,-,Both sexes,Number,61223
1997,021,21 years,1,Male,Number,31303
1997,021,21 years,2,Female,Number,29920
1997,022,22 years,-,Both sexes,Number,59718
1997,022,22 years,1,Male,Number,30518
1997,022,22 years,2,Female,Number,29200
1997,023,23 years,-,Both sexes,Number,57515
1997,023,23 years,1,Male,Number,29345
1997,023,23 years,2,Female,Number,28170
1997,024,24 years,-,Both sexes,Number,57276
1997,024,24 years,1,Male,Number,29005
1997,024,24 years,2,Female,Number,28271
1997,025,25 years,-,Both sexes,Number,56476
1997,025,25 years,1,Male,Number,28436
1997,025,25 years,2,Female,Number,28040
1997,026,26 years,-,Both sexes,Number,54227
1997,026,26 years,1,Male,Number,27052
1997,026,26 years,2,Female,Number,27175
1997,027,27 years,-,Both sexes,Number,52389
1997,027,27 years,1,Male,Number,26019
1997,027,27 years,2,Female,Number,26370
1997,028,28 years,-,Both sexes,Number,50992
1997,028,28 years,1,Male,Number,25575
1997,028,28 years,2,Female,Number,25417
1997,029,29 years,-,Both sexes,Number,50330
1997,029,29 years,1,Male,Number,24872
1997,029,29 years,2,Female,Number,25458
1997,030,30 years,-,Both sexes,Number,51282
1997,030,30 years,1,Male,Number,25307
1997,030,30 years,2,Female,Number,25975
1997,031,31 years,-,Both sexes,Number,52464
1997,031,31 years,1,Male,Number,25698
1997,031,31 years,2,Female,Number,26766
1997,032,32 years,-,Both sexes,Number,53866
1997,032,32 years,1,Male,Number,26190
1997,032,32 years,2,Female,Number,27676
1997,033,33 years,-,Both sexes,Number,53651
1997,033,33 years,1,Male,Number,26390
1997,033,33 years,2,Female,Number,27261
1997,034,34 years,-,Both sexes,Number,53848
1997,034,34 years,1,Male,Number,26348
1997,034,34 years,2,Female,Number,27500
1997,035,35 years,-,Both sexes,Number,52525
1997,035,35 years,1,Male,Number,25907
1997,035,35 years,2,Female,Number,26618
1997,036,36 years,-,Both sexes,Number,53835
1997,036,36 years,1,Male,Number,26516
1997,036,36 years,2,Female,Number,27319
1997,037,37 years,-,Both sexes,Number,52338
1997,037,37 years,1,Male,Number,25746
1997,037,37 years,2,Female,Number,26592
1997,038,38 years,-,Both sexes,Number,50989
1997,038,38 years,1,Male,Number,25275
1997,038,38 years,2,Female,Number,25714
1997,039,39 years,-,Both sexes,Number,51027
1997,039,39 years,1,Male,Number,25238
1997,039,39 years,2,Female,Number,25789
1997,040,40 years,-,Both sexes,Number,51029
1997,040,40 years,1,Male,Number,25359
1997,040,40 years,2,Female,Number,25670
1997,041,41 years,-,Both sexes,Number,49634
1997,041,41 years,1,Male,Number,24766
1997,041,41 years,2,Female,Number,24868
1997,042,42 years,-,Both sexes,Number,49660
1997,042,42 years,1,Male,Number,24740
1997,042,42 years,2,Female,Number,24920
1997,043,43 years,-,Both sexes,Number,47911
1997,043,43 years,1,Male,Number,23785
1997,043,43 years,2,Female,Number,24126
1997,044,44 years,-,Both sexes,Number,49128
1997,044,44 years,1,Male,Number,24677
1997,044,44 years,2,Female,Number,24451
1997,045,45 years,-,Both sexes,Number,45969
1997,045,45 years,1,Male,Number,23112
1997,045,45 years,2,Female,Number,22857
1997,046,46 years,-,Both sexes,Number,45597
1997,046,46 years,1,Male,Number,22881
1997,046,46 years,2,Female,Number,22716
1997,047,47 years,-,Both sexes,Number,45848
1997,047,47 years,1,Male,Number,22945
1997,047,47 years,2,Female,Number,22903
1997,048,48 years,-,Both sexes,Number,45918
1997,048,48 years,1,Male,Number,23105
1997,048,48 years,2,Female,Number,22813
1997,049,49 years,-,Both sexes,Number,44893
1997,049,49 years,1,Male,Number,22806
1997,049,49 years,2,Female,Number,22087
1997,050,50 years,-,Both sexes,Number,43984
1997,050,50 years,1,Male,Number,22523
1997,050,50 years,2,Female,Number,21461
1997,051,51 years,-,Both sexes,Number,42770
1997,051,51 years,1,Male,Number,21801
1997,051,51 years,2,Female,Number,20969
1997,052,52 years,-,Both sexes,Number,38746
1997,052,52 years,1,Male,Number,19560
1997,052,52 years,2,Female,Number,19186
1997,053,53 years,-,Both sexes,Number,36966
1997,053,53 years,1,Male,Number,18860
1997,053,53 years,2,Female,Number,18106
1997,054,54 years,-,Both sexes,Number,35856
1997,054,54 years,1,Male,Number,18024
1997,054,54 years,2,Female,Number,17832
1997,055,55 years,-,Both sexes,Number,32417
1997,055,55 years,1,Male,Number,16656
1997,055,55 years,2,Female,Number,15761
1997,056,56 years,-,Both sexes,Number,31125
1997,056,56 years,1,Male,Number,15792
1997,056,56 years,2,Female,Number,15333
1997,057,57 years,-,Both sexes,Number,32261
1997,057,57 years,1,Male,Number,16392
1997,057,57 years,2,Female,Number,15869
1997,058,58 years,-,Both sexes,Number,31162
1997,058,58 years,1,Male,Number,15686
1997,058,58 years,2,Female,Number,15476
1997,059,59 years,-,Both sexes,Number,29119
1997,059,59 years,1,Male,Number,14666
1997,059,59 years,2,Female,Number,14453
1997,060,60 years,-,Both sexes,Number,29863
1997,060,60 years,1,Male,Number,14929
1997,060,60 years,2,Female,Number,14934
1997,061,61 years,-,Both sexes,Number,29112
1997,061,61 years,1,Male,Number,14591
1997,061,61 years,2,Female,Number,14521
1997,062,62 years,-,Both sexes,Number,27882
1997,062,62 years,1,Male,Number,13785
1997,062,62 years,2,Female,Number,14097
1997,063,63 years,-,Both sexes,Number,27160
1997,063,63 years,1,Male,Number,13578
